-140.712 60.1988 15 6347.04
-140.734 60.2403 16.0534 6345.97
-140.757 60.2819 17.1068 6344.9
-140.779 60.3235 18.1601 6343.84
-140.802 60.3651 19.2134 6342.77
-140.825 60.4067 20.2667 6341.7
-140.847 60.4482 21.32 6340.64
-140.869 60.4898 22.3732 6339.57
-140.892 60.5314 23.4263 6338.5
-140.914 60.573 24.4795 6337.44
-140.937 60.6146 25.5326 6336.37
-140.959 60.6561 26.5856 6335.3
-140.981 60.6977 27.6386 6334.24
-141.003 60.7393 28.6916 6333.17
-141.026 60.7809 29.7445 6332.11
-141.048 60.8225 30.7974 6331.04
-141.07 60.8641 31.8503 6329.97
-141.092 60.9057 32.9031 6328.91
-141.114 60.9472 33.9559 6327.84
-141.136 60.9888 35.0086 6326.78
-141.157 61.0294 36.489 6325.28
-141.179 61.0696 38.0977 6323.66
-141.2 61.1098 39.7062 6322.04
>
-140.842 60.1364 15 6347.06
-140.865 60.1781 15.9916 6346.05
-140.888 60.2199 16.9829 6345.05
-140.91 60.2616 17.974 6344.04
-140.933 60.3034 18.9649 6343.04
-140.956 60.3451 19.9555 6342.03
-140.979 60.3869 20.9459 6341.03
-141.002 60.4286 21.936 6340.03
-141.024 60.4704 22.9258 6339.02
-141.047 60.5121 23.9155 6338.02
-141.07 60.5539 24.9048 6337.02
-141.092 60.5956 25.8939 6336.02
-141.115 60.6374 26.8828 6335.01
-141.137 60.6791 27.8714 6334.01
-141.16 60.7209 28.8598 6333.01
-141.182 60.7626 29.8479 6332.01
-141.205 60.8044 30.8357 6331.01
-141.227 60.8462 31.8233 6330.01
-141.25 60.8879 32.8106 6329.01
-141.272 60.9296 33.832 6327.97
-141.294 60.9713 34.8865 6326.9
-141.316 61.0122 36.2339 6325.54
-141.338 61.0525 37.8453 6323.92
-141.359 61.0928 39.4564 6322.29
-141.381 61.133 41.0674 6320.67
>
-140.996 60.0904 15 6347.07
-141.02 60.1322 15.9928 6346.06
-141.043 60.174 16.9855 6345.06
-141.066 60.2158 17.9781 6344.05
-141.089 60.2576 18.9705 6343.05
-141.112 60.2994 19.9628 6342.04
-141.135 60.3412 20.9549 6341.04
-141.158 60.383 21.9469 6340.03
-141.181 60.4248 22.9388 6339.02
-141.204 60.4666 23.9305 6338.02
-141.227 60.5084 24.9221 6337.01
-141.25 60.5502 25.9136 6336.01
-141.273 60.592 26.9049 6335.01
-141.295 60.6334 28.0654 6333.83
-141.318 60.6742 29.5171 6332.37
-141.34 60.715 30.9678 6330.9
-141.362 60.7558 32.4176 6329.44
-141.384 60.7965 33.8663 6327.98
-141.406 60.8373 35.3141 6326.52
-141.428 60.8781 36.7609 6325.06
-141.451 60.9189 38.2068 6323.6
-141.473 60.9604 39.144 6322.65
-141.496 61.0031 39.195 6322.58
-141.519 61.0458 39.2453 6322.52
-141.542 61.0879 39.7398 6322.01
-141.563 61.1283 41.3536 6320.39
>
-141.154 60.0471 15.0011 6347.08
-141.178 60.0889 15.9965 6346.08
-141.201 60.1307 16.9917 6345.07
-141.224 60.1726 17.9868 6344.06
-141.248 60.2144 19.0108 6343.02
-141.271 60.2552 20.4593 6341.56
-141.293 60.296 21.9266 6340.08
-141.316 60.3368 23.393 6338.6
-141.339 60.3776 24.8584 6337.12
-141.361 60.4184 26.3229 6335.64
-141.384 60.4592 27.7865 6334.17
-141.406 60.4999 29.2491 6332.69
-141.429 60.5407 30.7108 6331.22
-141.452 60.5815 32.1715 6329.74
-141.474 60.6223 33.6313 6328.27
-141.496 60.6631 35.0901 6326.8
-141.519 60.7039 36.548 6325.33
-141.541 60.7447 38.0049 6323.86
-141.564 60.7855 39.4609 6322.39
-141.586 60.8263 40.9159 6320.92
-141.608 60.8671 42.37 6319.45
-141.631 60.9086 43.338 6318.47
-141.654 60.9513 43.3949 6318.4
-141.677 60.994 43.4511 6318.33
-141.701 61.0367 43.5065 6318.26
-141.724 61.0795 43.5612 6318.19
-141.747 61.1222 43.6151 6318.13
-141.77 61.165 43.6683 6318.06
>
-141.321 60.0141 15 6347.1
-141.345 60.055 16.4311 6345.65
-141.368 60.096 17.862 6344.21
-141.391 60.1369 19.2927 6342.76
-141.414 60.1779 20.7233 6341.32
-141.437 60.2188 22.1537 6339.88
-141.46 60.2597 23.5839 6338.43
-141.483 60.3007 25.014 6336.99
-141.506 60.3416 26.4439 6335.55
-141.529 60.3825 27.8736 6334.1
-141.552 60.4235 29.3032 6332.66
-141.575 60.4644 30.7326 6331.22
-141.598 60.5053 32.1618 6329.78
-141.62 60.5463 33.5535 6328.37
-141.643 60.5875 34.8817 6327.03
-141.666 60.6287 36.21 6325.69
-141.689 60.6699 37.5383 6324.35
-141.712 60.7111 38.8667 6323.01
-141.735 60.7522 40.1951 6321.66
-141.758 60.7934 41.5235 6320.32
-141.78 60.8346 42.852 6318.98
-141.803 60.876 44.03 6317.79
-141.827 60.9187 44.1987 6317.61
-141.85 60.9615 44.3675 6317.43
-141.874 61.0042 44.5364 6317.24
-141.897 61.047 44.7056 6317.06
-141.921 61.0897 44.8749 6316.88
-141.944 61.1325 45.0444 6316.69
-141.967 61.1751 45.4814 6316.24
-141.99 61.2175 46.0666 6315.65
>
-141.495 59.9908 15 6347.1
-141.518 60.0318 16.4303 6345.66
-141.542 60.0729 17.8146 6344.26
-141.565 60.1142 19.144 6342.92
-141.589 60.1554 20.4734 6341.58
-141.612 60.1967 21.8029 6340.23
-141.636 60.238 23.1324 6338.89
-141.659 60.2792 24.462 6337.55
-141.682 60.3205 25.7916 6336.21
